LongF,LatF,LongG,LatG,preposition,locatumdesgroup,relatumdescgroup,Euclid Distance,DirectionModified
531874.8804,181779.9143,531922.3574,181803.574,on,buildings,roads tracks and paths,52.91125124,64.99708853
530320.0973,180340.5868,530268.624,180327.2467,at,buildings,roads tracks and paths,53.02089224,256.9398328
530320.0973,180340.5868,530268.624,180327.2467,at,buildings,roads tracks and paths,53.02089224,256.9398328
530320.0973,180340.5868,530268.624,180327.2467,on,buildings,roads tracks and paths,53.02089224,256.9398328
530423.0629,180194.3056,530372.1412,180178.7952,at,buildings,roads tracks and paths,53.08301334,254.5282764
530423.0629,180194.3056,530372.1412,180178.7952,along,buildings,roads tracks and paths,53.08301334,254.5282764
530586.0855,180626.059,530549.8047,180664.9411,outside,structure,buildings,53.09854213,318.4558
530553.5788,180847.2087,530542.2105,180899.1269,on,buildings,roads tracks and paths,53.12253722,349.1215402
530553.5788,180847.2087,530542.2105,180899.1269,on,buildings,roads tracks and paths,53.12253722,349.1215402
530169.2438,181155.5541,530129.4318,181119.6647,over,buildings,buildings,53.49925544,229.4343026
532748.0441,181601.2071,532772.7218,181648.8817,behind,buildings,buildings,53.62975703,28.86432471
530147.6652,181162.6472,530112.4636,181203.3399,on,structure,roads tracks and paths,53.72871859,320.6074213
530039.6186,180487.6847,530010.2146,180442.5553,on,structure,general surface,53.79888071,214.5515726
530039.6186,180487.6847,530010.2146,180442.5553,at,structure,general surface,53.79888071,214.5515726
530039.6186,180487.6847,530010.2146,180442.5553,at,structure,general surface,53.79888071,214.5515726
530039.6186,180487.6847,530010.2146,180442.5553,on,structure,general surface,53.79888071,214.5515726
530071.0603,180112.7793,530115.2521,180143.7809,on,buildings,roads tracks and paths,53.86379094,56.41569292
530470.2419,180994.37,530427.0737,181027.1563,at,buildings,roads tracks and paths,54.10004588,308.6890845
530240.1135,180386.1876,530285.4699,180416.4775,along,roads tracks and paths,buildings,54.41804055,57.7323128
533296.7537,182094.0752,533257.3382,182056.2062,on,buildings,roads tracks and paths,54.55986212,227.650617
530596.0411,180952.9517,530649.4544,180968.883,on,buildings,roads tracks and paths,55.58092119,74.86297201
530596.0411,180952.9517,530649.4544,180968.883,at,buildings,roads tracks and paths,55.58092119,74.86297201
531130.0927,181025.2886,531187.8307,181025.0355,behind,roads tracks and paths,roads tracks and paths,57.56551999,91.72858444
530257.4521,180291.5376,530227.9183,180241.6791,on,buildings,roads tracks and paths,57.88578321,212.1080244
530257.4521,180291.5376,530227.9183,180241.6791,in,buildings,buildings,57.88578321,212.1080244
529988.7882,180496.6364,530010.2146,180442.5553,in,buildings,general surface,58.13132994,159.8528576
532748.0441,181601.2071,532741.5792,181659.3562,on,buildings,roads tracks and paths,58.48421796,355.153941
532266.6578,181584.1867,532211.7881,181606.5138,behind,general surface,buildings,59.08539441,293.6334316
